window_id,wall_time_str,wall_time_ms,algo_name,alpha,freq_idx,thread_idx,target_freq_khz,real_freq_khz,n_threads,samples,window_start_temp_c,window_max_temp_c,avg_energy_mJ,avg_steady_lat_s_per_token,avg_total_lat_s,avg_ftl_s,avg_overall_ts,avg_steady_ts,optimizer_time_ms
15,2025-06-19 14:35:51,1750314951587,GridSearch,0.5,4,2,2112000,2112000,3,5,530,58.5,12685.2,0.0219234,1.25893,0.579306,76.257,45.6149,0.055
16,2025-06-19 14:35:57,1750314957924,GridSearch,0.5,5,0,2227200,2227200,1,5,568,56.8,28273.3,0.0512955,3.18546,1.5953,30.1376,19.4954,0.071
17,2025-06-19 14:36:13,1750314973894,GridSearch,0.5,5,1,2227200,2227200,2,5,496,56.4,19984.9,0.0276983,1.66004,0.801391,57.8309,36.1035,0.055
18,2025-06-19 14:36:22,1750314982236,GridSearch,0.5,5,2,2227200,2227200,3,5,533,60.5,19446.6,0.0218237,1.23279,0.556256,77.8762,45.8363,0.063
19,2025-06-19 14:36:28,1750314988440,GridSearch,0.5,6,0,2342400,2227200,1,5,581,58.1,30568.4,0.0511719,3.18245,1.59612,30.1656,19.542,0.067
20,2025-06-19 14:36:44,1750315004395,GridSearch,0.5,6,1,2342400,2227200,2,5,503,56.4,21031.9,0.0277682,1.66179,0.800974,57.7699,36.0132,0.056
21,2025-06-19 14:36:52,1750315012745,GridSearch,0.5,6,2,2342400,2227200,3,5,547,60.9,18317.2,0.0219422,1.23367,0.553465,77.8234,45.5886,0.061
22,2025-06-19 14:36:58,1750315018953,GridSearch,0.5,7,0,2419200,2227200,1,5,585,58.5,32126.1,0.0512464,3.18523,1.59659,30.1395,19.5137,0.069
23,2025-06-19 14:37:14,1750315034924,GridSearch,0.5,7,1,2419200,2227200,2,5,492,57.1,20781.7,0.0278381,1.66453,0.801545,57.6746,35.9227,0.055
24,2025-06-19 14:37:23,1750315043286,GridSearch,0.5,4,2,2112000,2112000,3,5,561,59.5,17150.6,0.0226833,1.28524,0.582062,74.7432,44.1868,0.045
25,2025-06-19 14:37:29,1750315049753,GridSearch,0.5,4,2,2112000,2112000,3,5,588,60.9,18762.7,0.0221988,1.27273,0.584563,75.4371,45.0499,0.063
26,2025-06-19 14:37:36,1750315056159,GridSearch,0.5,4,2,2112000,2112000,3,5,595,60.9,19988.5,0.0223797,1.27439,0.580622,75.3339,44.6913,0.053
27,2025-06-19 14:37:42,1750315062572,GridSearch,0.5,4,2,2112000,2112000,3,5,602,61.5,21017,0.0224594,1.27774,0.581493,75.1351,44.5309,0.054
28,2025-06-19 14:37:49,1750315069004,GridSearch,0.5,4,2,2112000,2112000,3,5,598,61.5,18408.8,0.0226334,1.28506,0.583419,74.7137,44.1925,0.05
29,2025-06-19 14:37:55,1750315075474,GridSearch,0.5,4,2,2112000,2112000,3,5,598,61.5,19330.4,0.0229546,1.29346,0.58187,74.2478,43.6024,0.055
30,2025-06-19 14:38:01,1750315081988,GridSearch,0.5,4,2,2112000,2112000,3,5,605,62.2,21246.9,0.0225876,1.28408,0.583863,74.7624,44.2724,0.059
31,2025-06-19 14:38:08,1750315088453,GridSearch,0.5,4,2,2112000,2112000,3,5,605,62.2,20271.9,0.022931,1.29529,0.584428,74.1199,43.6167,0.052
32,2025-06-19 14:38:14,1750315094974,GridSearch,0.5,4,2,2112000,2112000,3,5,609,62.2,18454,0.0229225,1.29479,0.584196,74.1497,43.6317,0.055
33,2025-06-19 14:38:21,1750315101495,GridSearch,0.5,4,2,2112000,2112000,3,5,605,62.2,20075.5,0.023506,1.31393,0.58525,73.1383,42.6393,0.068
34,2025-06-19 14:38:28,1750315108109,GridSearch,0.5,4,2,2112000,2112000,3,5,605,62.2,20779.2,0.0229976,1.30276,0.589832,73.6971,43.4893,0.059
35,2025-06-19 14:38:34,1750315114667,GridSearch,0.5,4,2,2112000,2112000,3,5,615,62.2,19252.4,0.023074,1.30976,0.594465,73.3043,43.3493,0.049
36,2025-06-19 14:38:41,1750315121259,GridSearch,0.5,4,2,2112000,2112000,3,5,612,62.6,21329.9,0.0233875,1.3317,0.606687,72.1247,42.7652,0.075
37,2025-06-19 14:38:47,1750315127962,GridSearch,0.5,4,2,2112000,2112000,3,5,612,62.6,21312.5,0.0231366,1.3297,0.612465,72.3452,43.2244,0.059
38,2025-06-19 14:38:54,1750315134655,GridSearch,0.5,4,2,2112000,2112000,3,5,615,62.6,20159.1,0.0235778,1.33445,0.60354,71.9688,42.4513,0.053
39,2025-06-19 14:39:01,1750315141373,GridSearch,0.5,4,2,2112000,2112000,3,5,612,62.9,20150.4,0.0233042,1.30663,0.584201,73.4748,42.9192,0.065
40,2025-06-19 14:39:07,1750315147950,GridSearch,0.5,4,2,2112000,2112000,3,5,615,62.9,19595.3,0.0232124,1.30759,0.588,73.4187,43.081,0.051
41,2025-06-19 14:39:14,1750315154533,GridSearch,0.5,4,2,2112000,2112000,3,5,615,62.9,19863,0.0233346,1.32943,0.606056,72.254,42.8583,0.059
42,2025-06-19 14:39:21,1750315161224,GridSearch,0.5,4,2,2112000,2112000,3,5,612,62.9,20918.1,0.0237051,1.32126,0.586402,72.6693,42.2084,0.067
43,2025-06-19 14:39:27,1750315167875,GridSearch,0.5,4,2,2112000,2112000,3,5,615,63.3,18918.1,0.0233631,1.31376,0.589506,73.0739,42.8034,0.062
44,2025-06-19 14:39:34,1750315174489,GridSearch,0.5,4,2,2112000,2112000,3,5,615,62.9,19152.9,0.0234568,1.32005,0.592891,72.7273,42.6344,0.057
45,2025-06-19 14:39:41,1750315181134,GridSearch,0.5,4,2,2112000,2112000,3,5,615,63.3,19037.8,0.0235382,1.31997,0.59028,72.7299,42.4855,0.066
46,2025-06-19 14:39:47,1750315187776,GridSearch,0.5,4,2,2112000,2112000,3,5,622,63.3,20302.5,0.0236659,1.32312,0.589481,72.5609,42.2646,0.055
47,2025-06-19 14:39:54,1750315194435,GridSearch,0.5,4,2,2112000,2112000,3,5,619,63.3,20627.2,0.0235191,1.32927,0.600176,72.2372,42.52,0.062
48,2025-06-19 14:40:01,1750315201125,GridSearch,0.5,4,2,2112000,2112000,3,5,622,63.3,19316.5,0.0242222,1.34003,0.58914,71.6912,41.37,0.061
49,2025-06-19 14:40:07,1750315207873,GridSearch,0.5,4,2,2112000,2112000,3,5,619,63.3,18645,0.0237908,1.33301,0.595499,72.0255,42.0385,0.063
0,2025-06-19 14:41:09,1750315269690,LinearSearch,0.5,7,2,2419200,2227200,3,5,420,59.5,3935.16,0.0210681,1.20751,0.554396,79.508,47.4715,0.075
1,2025-06-19 14:41:15,1750315275777,LinearSearch,0.5,0,2,1651200,1651200,3,5,578,57.8,12663.1,0.0281645,1.63088,0.757785,58.8678,35.5083,0.121
2,2025-06-19 14:41:23,1750315283973,LinearSearch,0.5,1,2,1766400,1766400,3,5,516,54.4,19600.7,0.0270663,1.54751,0.708456,62.0561,36.968,0.075
3,2025-06-19 14:41:31,1750315291765,LinearSearch,0.5,2,2,1881600,1881600,3,5,533,56.1,17758.3,0.0255355,1.45552,0.66392,65.9588,39.168,0.092
4,2025-06-19 14:41:39,1750315299094,LinearSearch,0.5,3,2,1996800,1996800,3,5,550,58.8,18550.5,0.0232798,1.33642,0.614749,71.8399,42.9624,0.062
5,2025-06-19 14:41:45,1750315305824,LinearSearch,0.5,4,2,2112000,2112000,3,5,581,61.5,19255.3,0.0224295,1.28084,0.585529,74.9653,44.5893,0.066
6,2025-06-19 14:41:52,1750315312273,LinearSearch,0.5,5,2,2227200,2227200,3,5,605,62.6,21306.6,0.0230257,1.28398,0.570181,74.7702,43.4329,0.063
7,2025-06-19 14:41:58,1750315318738,LinearSearch,0.5,6,2,2342400,2227200,3,5,612,62.6,21413.8,0.0236054,1.30742,0.575653,73.4434,42.3895,0.061
8,2025-06-19 14:42:05,1750315325318,LinearSearch,0.5,7,2,2419200,2227200,3,5,619,62.6,19580.5,0.0239404,1.3204,0.578246,72.7552,41.8471,0.07
9,2025-06-19 14:42:11,1750315331961,LinearSearch,0.5,0,0,1651200,1651200,1,5,602,60.2,35070.7,0.0689787,4.28271,2.14437,22.4159,14.4973,0.084
10,2025-06-19 14:42:33,1750315353416,LinearSearch,0.5,0,1,1651200,1651200,2,5,475,50.9,14622.7,0.0374078,2.24516,1.08552,42.7592,26.7328,0.076
11,2025-06-19 14:42:44,1750315364696,LinearSearch,0.5,0,2,1651200,1651200,3,5,503,53,15869.7,0.0280477,1.63011,0.76063,58.8951,35.6538,0.099
12,2025-06-19 14:42:52,1750315372903,LinearSearch,0.5,0,2,1651200,1651200,3,5,523,53.3,15100.7,0.0281236,1.64494,0.773112,58.3753,35.5579,0.076
13,2025-06-19 14:43:01,1750315381183,LinearSearch,0.5,0,2,1651200,1651200,3,5,523,53.3,14982.1,0.0281538,1.62592,0.753148,59.0442,35.5196,0.076
14,2025-06-19 14:43:09,1750315389366,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.3,15020.6,0.0282586,1.64596,0.769942,58.3511,35.3912,0.089
15,2025-06-19 14:43:17,1750315397651,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,14899.2,0.0282325,1.6396,0.764396,58.5554,35.4218,0.075
16,2025-06-19 14:43:25,1750315405903,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,15184.4,0.0281668,1.63004,0.756864,58.8979,35.5039,0.075
17,2025-06-19 14:43:34,1750315414107,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,15390.5,0.0282926,1.63845,0.76138,58.6051,35.3498,0.092
18,2025-06-19 14:43:42,1750315422353,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,16355,0.0284388,1.64616,0.76456,58.3263,35.1672,0.079
19,2025-06-19 14:43:50,1750315430637,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,17103.3,0.0289467,1.66463,0.767283,57.6979,34.594,0.078
20,2025-06-19 14:43:59,1750315439015,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,53.7,17105.5,0.028672,1.68191,0.793083,57.178,34.9212,0.094
21,2025-06-19 14:44:07,1750315447480,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,53.7,17219,0.0282111,1.64614,0.771598,58.3204,35.4493,0.075
22,2025-06-19 14:44:15,1750315455767,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,19893.7,0.0283958,1.63526,0.754992,58.7106,35.2226,0.075
23,2025-06-19 14:44:23,1750315463999,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,14818.5,0.0283672,1.6391,0.759716,58.5792,35.2618,0.091
24,2025-06-19 14:44:32,1750315472249,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,53.7,14514.2,0.028627,1.64142,0.753986,58.4982,34.9548,0.075
25,2025-06-19 14:44:40,1750315480511,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,53.7,15126.9,0.0282003,1.62614,0.751932,59.0374,35.4648,0.075
26,2025-06-19 14:44:48,1750315488696,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,54,15877.2,0.0283938,1.63298,0.752771,58.7955,35.2296,0.091
27,2025-06-19 14:44:56,1750315496916,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,16029.3,0.0287974,1.64798,0.755259,58.2658,34.7474,0.08
28,2025-06-19 14:45:05,1750315505212,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,53.7,17137.7,0.0284669,1.63287,0.750397,58.8017,35.1488,0.078
29,2025-06-19 14:45:13,1750315513430,LinearSearch,0.5,0,2,1651200,1651200,3,5,533,53.7,18210.1,0.0285704,1.63897,0.753285,58.5785,35.0086,0.096
30,2025-06-19 14:45:21,1750315521679,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,53.7,18362.8,0.0287755,1.64282,0.75078,58.4439,34.7666,0.075
31,2025-06-19 14:45:29,1750315529948,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,19623.4,0.0282682,1.63141,0.755096,58.8457,35.3768,0.081
32,2025-06-19 14:45:38,1750315538158,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,19642.3,0.0285022,1.64339,0.759824,58.419,35.088,0.085
33,2025-06-19 14:45:46,1750315546429,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,20087.5,0.0282704,1.63135,0.75497,58.8502,35.3742,0.077
34,2025-06-19 14:45:54,1750315554640,LinearSearch,0.5,0,2,1651200,1651200,3,5,533,54,17217.3,0.0282809,1.67328,0.796572,57.4409,35.3598,0.079
35,2025-06-19 14:46:03,1750315563060,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,15963.7,0.0281751,1.62986,0.756432,58.9018,35.493,0.095
36,2025-06-19 14:46:11,1750315571264,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,17858.8,0.0281816,1.63431,0.760681,58.743,35.4844,0.077
37,2025-06-19 14:46:19,1750315579489,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,54,16936.6,0.0282038,1.64009,0.765768,58.5381,35.4574,0.075
38,2025-06-19 14:46:27,1750315587744,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,15524.7,0.0281458,1.63104,0.758521,58.8601,35.5299,0.092
39,2025-06-19 14:46:35,1750315595953,LinearSearch,0.5,0,2,1651200,1651200,3,5,533,54,14837.9,0.0281351,1.63293,0.760745,58.7921,35.5434,0.074
40,2025-06-19 14:46:44,1750315604170,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,53.7,14892.5,0.0281475,1.63523,0.76266,58.7126,35.5281,0.077
41,2025-06-19 14:46:52,1750315612400,LinearSearch,0.5,0,2,1651200,1651200,3,5,526,54,16962.3,0.0286297,1.64686,0.759335,58.3155,34.9692,0.092
42,2025-06-19 14:47:00,1750315620687,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,15145.4,0.0281759,1.62818,0.754729,58.9622,35.4918,0.075
43,2025-06-19 14:47:08,1750315628881,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,16037.2,0.028793,1.64477,0.752188,58.3824,34.7494,0.077
44,2025-06-19 14:47:17,1750315637159,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,17864.3,0.028617,1.64371,0.756585,58.4088,34.9541,0.098
45,2025-06-19 14:47:25,1750315645433,LinearSearch,0.5,0,2,1651200,1651200,3,5,533,53.7,18112.6,0.0286493,1.64204,0.753907,58.4814,34.9444,0.079
46,2025-06-19 14:47:33,1750315653697,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,18671.6,0.0284138,1.63273,0.751905,58.8027,35.2017,0.073
47,2025-06-19 14:47:41,1750315661915,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,19374.2,0.0286459,1.66246,0.774434,57.7753,34.9239,0.092
48,2025-06-19 14:47:50,1750315670283,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,19749.3,0.0284013,1.63269,0.752249,58.8068,35.2267,0.074
49,2025-06-19 14:47:58,1750315678500,LinearSearch,0.5,0,2,1651200,1651200,3,5,530,54,14985.9,0.0287372,1.64533,0.754476,58.3717,34.8355,0.075
0,2025-06-19 14:48:35,1750315715839,NeighborSearch,0.5,7,2,2419200,2227200,3,5,424,59.5,13959.9,0.0210932,1.20773,0.553839,79.4957,47.4125,0.074
1,2025-06-19 14:48:41,1750315721936,NeighborSearch,0.5,6,2,2342400,2227200,3,5,581,61.2,19358.1,0.0222648,1.25359,0.563381,76.6014,44.9261,0.054
2,2025-06-19 14:48:48,1750315728245,NeighborSearch,0.5,6,1,2342400,2227200,2,5,605,60.5,24154.2,0.0281689,1.67489,0.801653,57.3181,35.501,0.068
3,2025-06-19 14:48:56,1750315736659,NeighborSearch,0.5,6,0,2342400,2227200,1,5,578,57.8,23452.2,0.0513353,3.18706,1.59567,30.1221,19.4799,0.055
4,2025-06-19 14:49:12,1750315752635,NeighborSearch,0.5,5,0,2227200,2227200,1,5,506,53.7,25269,0.0512748,3.18531,1.59579,30.1384,19.5028,0.055
5,2025-06-19 14:49:28,1750315768602,NeighborSearch,0.5,5,1,2227200,2227200,2,5,503,58.5,20373.9,0.0279006,1.66623,0.80131,57.6155,35.8418,0.057
6,2025-06-19 14:49:36,1750315776973,NeighborSearch,0.5,5,2,2227200,2227200,3,5,578,61.5,19364.9,0.0225921,1.26242,0.562065,76.0551,44.272,0.059
7,2025-06-19 14:49:43,1750315783325,NeighborSearch,0.5,4,2,2112000,2112000,3,5,609,62.2,21207.7,0.0227306,1.30422,0.599571,73.6719,43.9963,0.068
8,2025-06-19 14:49:49,1750315789888,NeighborSearch,0.5,4,1,2112000,2112000,2,5,598,59.8,25297.8,0.0293596,1.75362,0.843475,54.7444,34.0604,0.058
9,2025-06-19 14:49:58,1750315798700,NeighborSearch,0.5,3,1,1996800,1996800,2,5,574,57.4,21379.6,0.0309172,1.84973,0.891295,51.9029,32.3473,0.057
10,2025-06-19 14:50:07,1750315807992,NeighborSearch,0.5,3,0,1996800,1996800,1,5,550,55,30981.4,0.0567643,3.5364,1.77671,27.1465,17.6168,0.07
11,2025-06-19 14:50:25,1750315825718,NeighborSearch,0.5,4,0,2112000,2112000,1,5,506,53.7,22135.5,0.0538012,3.34688,1.67904,28.6836,18.587,0.07
12,2025-06-19 14:50:42,1750315842497,NeighborSearch,0.5,4,1,2112000,2112000,2,5,513,57.1,14755.8,0.0291537,1.74696,0.843196,54.9528,34.3011,0.061
13,2025-06-19 14:50:51,1750315851276,NeighborSearch,0.5,4,1,2112000,2112000,2,5,557,57.8,21294.1,0.0292977,1.75137,0.843144,54.8152,34.1338,0.068
14,2025-06-19 14:51:00,1750315860075,NeighborSearch,0.5,4,2,2112000,2112000,3,5,564,61.5,18424.9,0.0225095,1.27987,0.58207,75.0136,44.4401,0.06
15,2025-06-19 14:51:06,1750315866519,NeighborSearch,0.5,3,2,1996800,1996800,3,5,602,60.5,20122,0.0232057,1.33445,0.615074,71.9419,43.0933,0.057
16,2025-06-19 14:51:13,1750315873239,NeighborSearch,0.5,2,2,1881600,1881600,3,5,595,59.5,20239.6,0.0256597,1.45965,0.664203,65.7726,38.9734,0.094
17,2025-06-19 14:51:20,1750315880582,NeighborSearch,0.5,1,2,1766400,1766400,3,5,574,57.4,19998.4,0.0270844,1.56819,0.728569,61.2585,36.9359,0.077
18,2025-06-19 14:51:28,1750315888473,NeighborSearch,0.5,0,2,1651200,1651200,3,5,557,55.7,21368.5,0.0285379,1.63543,0.750757,58.7107,35.0563,0.08
19,2025-06-19 14:51:36,1750315896702,NeighborSearch,0.5,0,1,1651200,1651200,2,5,544,54.4,22412,0.03745,2.24818,1.08723,42.7019,26.7023,0.083
20,2025-06-19 14:51:47,1750315907997,NeighborSearch,0.5,0,0,1651200,1651200,1,5,516,51.6,30909.4,0.0689264,4.2826,2.14588,22.4164,14.5083,0.11
21,2025-06-19 14:52:09,1750315929465,NeighborSearch,0.5,1,0,1766400,1766400,1,5,468,48.9,27328.1,0.0642798,3.99722,2.00454,24.0168,15.557,0.101
22,2025-06-19 14:52:29,1750315949506,NeighborSearch,0.5,1,1,1766400,1766400,2,5,479,52,20308.5,0.0351057,2.10543,1.01715,45.5968,28.4862,0.077
23,2025-06-19 14:52:40,1750315960088,NeighborSearch,0.5,2,1,1881600,1881600,2,5,513,53.7,15657.6,0.0331482,1.98467,0.957072,48.3714,30.1675,0.077
24,2025-06-19 14:52:50,1750315970063,NeighborSearch,0.5,2,0,1881600,1881600,1,5,526,52.6,31813.7,0.0605996,3.76471,1.88613,25.5001,16.5018,0.094
25,2025-06-19 14:53:08,1750315988935,NeighborSearch,0.5,2,1,1881600,1881600,2,5,482,53.3,13924.1,0.0331421,1.98614,0.958737,48.3355,30.1731,0.079
26,2025-06-19 14:53:18,1750315998916,NeighborSearch,0.5,2,1,1881600,1881600,2,5,523,53.7,19199.5,0.0332085,1.98704,0.957575,48.3137,30.1129,0.104
27,2025-06-19 14:53:28,1750316008901,NeighborSearch,0.5,2,2,1881600,1881600,3,5,523,56.4,14722.6,0.025621,1.45869,0.664435,65.8208,39.0414,0.096
28,2025-06-19 14:53:36,1750316016244,NeighborSearch,0.5,2,2,1881600,1881600,3,5,550,56.8,18118.1,0.0260598,1.47767,0.66982,65.0142,38.4694,0.076
29,2025-06-19 14:53:43,1750316023683,NeighborSearch,0.5,2,2,1881600,1881600,3,5,557,57.1,18420.9,0.0257047,1.46642,0.66957,65.4773,38.9083,0.076
30,2025-06-19 14:53:51,1750316031065,NeighborSearch,0.5,2,2,1881600,1881600,3,5,557,57.1,18284.9,0.0257836,1.46174,0.662454,65.6787,38.7938,0.096
31,2025-06-19 14:53:58,1750316038424,NeighborSearch,0.5,2,2,1881600,1881600,3,5,564,57.4,16797.1,0.0256504,1.47477,0.679606,65.1275,38.9896,0.079
32,2025-06-19 14:54:05,1750316045847,NeighborSearch,0.5,2,2,1881600,1881600,3,5,564,57.4,19323.3,0.0258105,1.46025,0.660122,65.7541,38.7665,0.131
33,2025-06-19 14:54:13,1750316053197,NeighborSearch,0.5,3,2,1996800,1996800,3,5,571,59.8,18780.1,0.0234291,1.3442,0.617901,71.4261,42.7002,0.058
34,2025-06-19 14:54:19,1750316059968,NeighborSearch,0.5,4,2,2112000,2112000,3,5,588,62.2,19523.5,0.0228433,1.29179,0.58365,74.32,43.7915,0.063
35,2025-06-19 14:54:26,1750316066471,NeighborSearch,0.5,3,2,1996800,1996800,3,5,609,61.2,18013.5,0.0234202,1.33978,0.61375,71.6623,42.7111,0.072
36,2025-06-19 14:54:33,1750316073216,NeighborSearch,0.5,3,2,1996800,1996800,3,5,602,61.2,18497.5,0.0232566,1.3368,0.615841,71.8151,43.0013,0.06
37,2025-06-19 14:54:39,1750316079945,NeighborSearch,0.5,3,2,1996800,1996800,3,5,598,61.2,19913.9,0.0232432,1.34108,0.620537,71.5909,43.0281,0.06
38,2025-06-19 14:54:46,1750316086696,NeighborSearch,0.5,4,2,2112000,2112000,3,5,598,62.9,21053,0.0231851,1.30541,0.586675,73.5446,43.1353,0.074
39,2025-06-19 14:54:53,1750316093269,NeighborSearch,0.5,5,2,2227200,2227200,3,5,619,63.3,20007.1,0.0241684,1.33404,0.584818,72.0394,41.5063,0.065
40,2025-06-19 14:54:59,1750316099983,NeighborSearch,0.5,6,2,2342400,2227200,3,5,626,63.6,19702.8,0.0236466,1.32228,0.589234,72.6038,42.2905,0.062
41,2025-06-19 14:55:06,1750316106643,NeighborSearch,0.5,7,2,2419200,2227200,3,5,619,63.3,19336.9,0.0238033,1.32519,0.587291,72.4476,42.0114,0.079
42,2025-06-19 14:55:13,1750316113312,NeighborSearch,0.5,7,1,2419200,2227200,2,5,619,62.6,25043.2,0.0286049,1.69455,0.807796,56.6565,34.963,0.056
43,2025-06-19 14:55:21,1750316121827,NeighborSearch,0.5,7,0,2419200,2227200,1,5,598,59.8,30085.9,0.0516135,3.19579,1.59577,30.0398,19.3749,0.06
44,2025-06-19 14:55:37,1750316137846,NeighborSearch,0.5,7,1,2419200,2227200,2,5,530,60.9,12123,0.0281562,1.67445,0.801608,57.3325,35.5165,0.056
45,2025-06-19 14:55:46,1750316146258,NeighborSearch,0.5,7,1,2419200,2227200,2,5,595,61.5,21949.7,0.0281975,1.67711,0.802992,57.2419,35.4652,0.057
46,2025-06-19 14:55:54,1750316154686,NeighborSearch,0.5,7,2,2419200,2227200,3,5,605,62.9,20672.4,0.0235992,1.31365,0.582076,73.1047,42.3867,0.084
47,2025-06-19 14:56:01,1750316161295,NeighborSearch,0.5,6,2,2342400,2227200,3,5,619,63.3,19655.6,0.0236456,1.31428,0.581266,73.045,42.2931,0.062
48,2025-06-19 14:56:07,1750316167909,NeighborSearch,0.5,6,2,2342400,2227200,3,5,626,63.6,20243.1,0.0237495,1.32272,0.586488,72.5807,42.1072,0.063
49,2025-06-19 14:56:14,1750316174564,NeighborSearch,0.5,6,2,2342400,2227200,3,5,626,63.6,21067.9,0.0245357,1.3485,0.587893,71.2309,40.8336,0.082
0,2025-06-19 14:57:35,1750316255491,MABMultiDim,0.5,7,2,2419200,2227200,3,5,417,59.5,10500.6,0.0211257,1.20696,0.552062,79.5504,47.3491,0.073
1,2025-06-19 14:57:41,1750316261573,MABMultiDim,0.5,5,0,2227200,2227200,1,5,581,58.1,35131,0.0512155,3.18309,1.59541,30.1596,19.5254,0.054
2,2025-06-19 14:57:57,1750316277532,MABMultiDim,0.5,2,1,1881600,1881600,2,5,499,53.3,20396.2,0.0331693,1.98753,0.959283,48.3015,30.1484,0.074
3,2025-06-19 14:58:07,1750316287511,MABMultiDim,0.5,2,0,1881600,1881600,1,5,516,51.6,35621.4,0.0605503,3.76303,1.88597,25.5115,16.5152,0.096
4,2025-06-19 14:58:26,1750316306375,MABMultiDim,0.5,0,1,1651200,1651200,2,5,472,50.6,18214.2,0.0372795,2.2427,1.08703,42.806,26.8244,0.081
